widget_id,label,type,page,rect
topmostSubform[0].Page1[0].NameAddress[0].f1_01[0],Type,Text,0,"80,154,425,168"
topmostSubform[0].Page1[0].NameAddress[0].f1_02[0],or Print,Text,0,"80,178,425,192"
topmostSubform[0].Page1[0].NameAddress[0].f1_03[0],"Print City or town, state or province, country, and ZIP",Text,0,"80,202,425,216"
topmostSubform[0].Page1[0].f1_04[0],A Employer identification number,Text,0,"425,154,576,168"
topmostSubform[0].Page1[0].f1_05[0],B Date incorporated,Text,0,"425,178,576,192"
topmostSubform[0].Page1[0].f1_06[0],C State of incorporation,Text,0,"426,202,576,216"
topmostSubform[0].Page1[0].c1_1[0],name or address,CheckBox,0,"482,218,490,226"
topmostSubform[0].Page1[0].c1_2[0],address,CheckBox,0,"533,218,541,226"
topmostSubform[0].Page1[0].f1_07[0],year) (see instructions) . . . . . . ▶,Text,0,"482,228,576,240"
topmostSubform[0].Page1[0].c1_3[0],Calendar year,CheckBox,0,"75,278,83,286"
topmostSubform[0].Page1[0].c1_3[1],Fiscal year ending (month and day) ▶,CheckBox,0,"75,290,83,298"
topmostSubform[0].Page1[0].f1_08[0],(2) Fiscal year ending (month and day) ▶,Text,0,"245,288,331,300"
topmostSubform[0].Page1[0].c1_3[2],52-53-week year ending with reference to the month,CheckBox,0,"75,302,83,310"
topmostSubform[0].Page1[0].c1_3[3],52-53-week year ending with reference to the month,CheckBox,0,"75,314,83,322"
topmostSubform[0].Page1[0].f1_09[0],52-53-week year ending with reference to the month of ▶,Text,0,"331,312,439,324"
topmostSubform[0].Page1[0].c1_4[0],test 2 under Who May Elect in the instructions) ▶,CheckBox,0,"500,362,508,370"
topmostSubform[0].Page1[0].f1_10[0],representative,Text,0,"58,396,418,408"
topmostSubform[0].Page1[0].f1_11[0],representative,Text,0,"418,396,576,408"
topmostSubform[0].Page1[0].f1_12[0],discovery. See instructions.,Text,0,"58,480,576,492"
topmostSubform[0].Page1[0].f1_13[0],discovery. See instructions.,Text,0,"58,504,576,516"
topmostSubform[0].Page1[0].f1_14[0],discovery. See instructions.,Text,0,"58,528,576,540"
