field_id,label,caption,type,page,rect
topmostsubform_0_page1_0_f1_01_0,topmostSubform[0].Page1[0].f1_01[0],,text,0,"36.0,106.0,373.6,120.0"
topmostsubform_0_page1_0_f1_02_0,topmostSubform[0].Page1[0].f1_02[0],,text,0,"374.4,106.0,468.0,120.0"
topmostsubform_0_page1_0_f1_03_0,topmostSubform[0].Page1[0].f1_03[0],,text,0,"468.0,106.0,576.0,120.0"
topmostsubform_0_page1_0_f1_04_0,topmostSubform[0].Page1[0].f1_04[0],,text,0,"36.0,130.0,576.0,144.0"
topmostsubform_0_page1_0_f1_05_0,topmostSubform[0].Page1[0].f1_05[0],,text,0,"36.0,154.0,576.0,168.0"
topmostsubform_0_page1_0_f1_06_0,topmostSubform[0].Page1[0].f1_06[0],,text,0,"36.0,178.0,576.0,192.0"
topmostsubform_0_page1_0_f1_07_0,topmostSubform[0].Page1[0].f1_07[0],,text,0,"36.0,202.0,576.0,216.0"
topmostsubform_0_page1_0_f1_08_0,topmostSubform[0].Page1[0].f1_08[0],,text,0,"36.0,226.0,424.0,240.0"
topmostsubform_0_page1_0_f1_09_0,topmostSubform[0].Page1[0].f1_09[0],(,text,0,"430.8,228.0,460.8,240.0"
topmostsubform_0_page1_0_f1_10_0,topmostSubform[0].Page1[0].f1_10[0],( ),text,0,"467.8,228.0,576.0,240.0"
topmostsubform_0_page1_0_c1_1_0,topmostSubform[0].Page1[0].c1_1[0],Court appointment of testate estate (valid will exists),checkbox,0,"64.8,266.0,72.8,274.0"
topmostsubform_0_page1_0_c1_1_1,topmostSubform[0].Page1[0].c1_1[1],Court appointment of intestate estate (no valid will,checkbox,0,"64.8,278.0,72.8,286.0"
topmostsubform_0_page1_0_c1_1_2,topmostSubform[0].Page1[0].c1_1[2],Court appointment as guardian or conservator,checkbox,0,"64.8,290.0,72.8,298.0"
topmostsubform_0_page1_0_c1_1_3,topmostSubform[0].Page1[0].c1_1[3],Fiduciary of intestate estate,checkbox,0,"64.8,302.0,72.8,310.0"
topmostsubform_0_page1_0_c1_1_4,topmostSubform[0].Page1[0].c1_1[4],Valid trust instrument and amendments,checkbox,0,"64.8,314.0,72.8,322.0"
topmostsubform_0_page1_0_c1_1_5,topmostSubform[0].Page1[0].c1_1[5],Bankruptcy or assignment for the benefit of creditors,checkbox,0,"64.8,326.0,72.8,334.0"
topmostsubform_0_page1_0_c1_1_6,topmostSubform[0].Page1[0].c1_1[6],Other. Describe:,checkbox,0,"64.8,338.0,72.8,346.0"
topmostsubform_0_page1_0_f1_11_0,topmostSubform[0].Page1[0].f1_11[0],g Other. Describe:,text,0,"147.6,336.0,576.0,348.0"
topmostsubform_0_page1_0_f1_12_0,topmostSubform[0].Page1[0].f1_12[0],"1b, or 1d is checked, enter the date of death:",text,0,"288.8,348.0,410.4,360.0"
topmostsubform_0_page1_0_f1_13_0,topmostSubform[0].Page1[0].f1_13[0],"of appointment, taking office, or assignment or transfer of assets:",text,0,"504.8,360.0,576.0,372.0"
topmostsubform_0_page1_0_f1_14_0,topmostSubform[0].Page1[0].f1_14[0],,text,0,"64.8,372.0,576.0,384.0"
topmostsubform_0_page1_0_c1_2_0,topmostSubform[0].Page1[0].c1_2[0],Income Gift Estate Generation-skipping transfer Employment,checkbox,0,"216.0,404.2,224.0,412.2"
topmostsubform_0_page1_0_c1_3_0,topmostSubform[0].Page1[0].c1_3[0],Gift Estate Generation-skipping transfer Employment,checkbox,0,"273.6,404.2,281.6,412.2"
