field_id,label,caption,type,page,rect
topmostsubform_0_page1_0_pgheader_0_f1_1_0,topmostSubform[0].Page1[0].PgHeader[0].f1_1[0],instructions for each line. Keep a copy for your records.,text,0,"440.2,57.9,576.0,84.0"
topmostsubform_0_page1_0_f1_2_0,topmostSubform[0].Page1[0].f1_2[0],,text,0,"51.4,94.0,576.0,108.0"
topmostsubform_0_page1_0_f1_3_0,topmostSubform[0].Page1[0].f1_3[0],clearly.,text,0,"51.4,118.0,294.5,132.0"
topmostsubform_0_page1_0_f1_4_0,topmostSubform[0].Page1[0].f1_4[0],clearly.,text,0,"296.2,118.0,576.0,132.0"
topmostsubform_0_page1_0_line4readorder_0_f1_5_0,topmostSubform[0].Page1[0].Line4ReadOrder[0].f1_5[0],print,text,0,"51.4,142.0,294.5,156.0"
topmostsubform_0_page1_0_line4readorder_0_f1_6_0,topmostSubform[0].Page1[0].Line4ReadOrder[0].f1_6[0],or,text,0,"51.4,166.0,294.5,180.0"
topmostsubform_0_page1_0_f1_7_0,topmostSubform[0].Page1[0].f1_7[0],print,text,0,"296.2,142.0,576.0,156.0"
topmostsubform_0_page1_0_f1_8_0,topmostSubform[0].Page1[0].f1_8[0],or,text,0,"296.2,166.0,576.0,180.0"
topmostsubform_0_page1_0_f1_9_0,topmostSubform[0].Page1[0].f1_9[0],Type,text,0,"51.4,190.0,576.0,204.0"
topmostsubform_0_page1_0_f1_10_0,topmostSubform[0].Page1[0].f1_10[0],,text,0,"51.4,214.0,330.5,228.0"
topmostsubform_0_page1_0_f1_11_0,topmostSubform[0].Page1[0].f1_11[0],,text,0,"332.2,214.0,576.0,228.0"
topmostsubform_0_page1_0_c1_1_0,topmostSubform[0].Page1[0].c1_1[0],Yes No LLC members . . . .,checkbox,0,"255.2,241.5,263.2,249.5"
topmostsubform_0_page1_0_c1_1_1,topmostSubform[0].Page1[0].c1_1[1],No LLC members . . . . .,checkbox,0,"298.4,241.5,306.4,249.5"
topmostsubform_0_page1_0_f1_12_0,topmostSubform[0].Page1[0].f1_12[0],No LLC members . . . . . . .,text,0,"496.8,240.0,576.0,252.0"
topmostsubform_0_page1_0_c1_2_0,topmostSubform[0].Page1[0].c1_2[0],Yes No,checkbox,0,"492.8,254.0,500.8,262.0"
topmostsubform_0_page1_0_c1_2_1,topmostSubform[0].Page1[0].c1_2[1],No,checkbox,0,"543.2,254.0,551.2,262.0"
topmostsubform_0_page1_0_c1_3_0,topmostSubform[0].Page1[0].c1_3[0],Sole proprietor (SSN) Estate (SSN of decedent),checkbox,0,"60.8,278.0,68.8,286.0"
topmostsubform_0_page1_0_f1_13_0,topmostSubform[0].Page1[0].f1_13[0],Sole proprietor (SSN),text,0,"158.4,276.0,259.2,288.0"
topmostsubform_0_page1_0_c1_3_1,topmostSubform[0].Page1[0].c1_3[1],Estate (SSN of decedent),checkbox,0,"334.4,278.0,342.4,286.0"
topmostsubform_0_page1_0_f1_14_0,topmostSubform[0].Page1[0].f1_14[0],Sole proprietor (SSN) Estate (SSN of decedent),text,0,"446.4,276.0,576.0,288.0"
topmostsubform_0_page1_0_c1_3_2,topmostSubform[0].Page1[0].c1_3[2],Partnership Plan administrator (TIN),checkbox,0,"60.8,290.0,68.8,298.0"
topmostsubform_0_page1_0_c1_3_3,topmostSubform[0].Page1[0].c1_3[3],Plan administrator (TIN),checkbox,0,"334.4,290.0,342.4,298.0"
topmostsubform_0_page1_0_f1_15_0,topmostSubform[0].Page1[0].f1_15[0],Partnership Plan administrator (TIN),text,0,"439.2,288.0,576.0,300.0"
topmostsubform_0_page1_0_c1_3_4,topmostSubform[0].Page1[0].c1_3[4],Corporation (enter form number to be filed) Trust,checkbox,0,"60.8,302.0,68.8,310.0"
topmostsubform_0_page1_0_f1_16_0,topmostSubform[0].Page1[0].f1_16[0],Corporation (enter form number to be filed),text,0,"237.6,300.0,324.0,312.0"
topmostsubform_0_page1_0_c1_3_5,topmostSubform[0].Page1[0].c1_3[5],Trust (TIN of grantor),checkbox,0,"334.4,302.0,342.4,310.0"
topmostsubform_0_page1_0_f1_17_0,topmostSubform[0].Page1[0].f1_17[0],(enter form number to be filed) Trust (TIN of grantor),text,0,"432.0,300.0,576.0,312.0"
topmostsubform_0_page1_0_c1_3_6,topmostSubform[0].Page1[0].c1_3[6],Personal service corporation Military/National Guard State/local government,checkbox,0,"60.8,314.0,68.8,322.0"
topmostsubform_0_page1_0_c1_3_7,topmostSubform[0].Page1[0].c1_3[7],Military/National Guard State/local government,checkbox,0,"334.4,314.0,342.4,322.0"
topmostsubform_0_page1_0_c1_3_8,topmostSubform[0].Page1[0].c1_3[8],State/local government,checkbox,0,"442.4,314.0,450.4,322.0"
topmostsubform_0_page1_0_c1_3_9,topmostSubform[0].Page1[0].c1_3[9],Church or church-controlled organization Farmers’ cooperative Federal government,checkbox,0,"60.8,326.0,68.8,334.0"
topmostsubform_0_page1_0_c1_3_10,topmostSubform[0].Page1[0].c1_3[10],Farmers’ cooperative Federal government,checkbox,0,"334.4,326.0,342.4,334.0"
topmostsubform_0_page1_0_c1_3_11,topmostSubform[0].Page1[0].c1_3[11],Federal government,checkbox,0,"442.4,326.0,450.4,334.0"
topmostsubform_0_page1_0_c1_3_12,topmostSubform[0].Page1[0].c1_3[12],Other nonprofit organization (specify) REMIC Indian tribal governments/enterprises,checkbox,0,"60.8,338.0,68.8,346.0"
topmostsubform_0_page1_0_f1_18_0,topmostSubform[0].Page1[0].f1_18[0],Other nonprofit organization (specify),text,0,"216.0,336.0,324.0,348.0"
topmostsubform_0_page1_0_c1_3_13,topmostSubform[0].Page1[0].c1_3[13],REMIC Indian tribal governments/enterprises,checkbox,0,"334.4,338.0,342.4,346.0"
topmostsubform_0_page1_0_c1_3_14,topmostSubform[0].Page1[0].c1_3[14],Indian tribal governments/enterprises,checkbox,0,"442.4,338.0,450.4,346.0"
