widget_id,label,type,page,rect
Text Field 5,2. Municipality,Text,0,"93,129,354,146"
Text Field 6,"3a. Last name, first name, MI; or business name 3b.",Text,0,"44,181,476,197"
Text Field 7,1. County,Text,0,"82,105,354,122"
Text Field 9,"3c. Last name, first name, MI; or business name 3d.",Text,0,"45,211,476,227"
Text Field 10,3e. Mailing address after purchasing this property 3f. Municipality,Text,0,"44,241,296,257"
Text Field 11,3f. Municipality 3g. State,Text,0,"303,241,476,257"
Text Field 12,3b. Federal ID,Text,0,"483,181,570,197"
Text Field 13,3d. Federal ID,Text,0,"484,211,571,227"
Text Field 14,3g. State 3h. ZIP Code,Text,0,"484,241,514,257"
Text Field 15,3g. State 3h. ZIP Code,Text,0,"520,241,570,257"
Text Field 16,"4a. Last name, first name, MI; or business name 4b.",Text,0,"45,288,476,304"
Text Field 17,4b. Federal ID,Text,0,"485,288,570,304"
Text Field 18,"4c. Last name, first name, MI; or Business name 4d.",Text,0,"45,324,476,340"
Text Field 19,4d. Federal ID,Text,0,"484,324,570,340"
Text Field 20,4e. Mailing address 4f. Municipality,Text,0,"45,360,297,376"
Text Field 21,4f. Municipality 4g. State,Text,0,"304,360,477,376"
Text Field 22,4g. State 4h. ZIP Code,Text,0,"484,360,514,376"
Text Field 23,4g. State 4h. ZIP Code,Text,0,"520,360,570,376"
Text Field 24,5. PROPERTY,Text,0,"109,393,152,409"
Text Field 25,5. PROPERTY,Text,0,"160,393,203,409"
Text Field 26,Block Lot Sub-lot,Text,0,"210,393,253,409"
Text Field 27,5. PROPERTY,Text,0,"261,393,305,409"
Text Field 28,5c. Physical location,Text,0,"44,429,296,445"
Check Box 1,No maps exist number erty being that sold,CheckBox,0,"318,398,324,406"
Check Box 2,Multiple parcels,CheckBox,0,"318,409,324,417"
Check Box 3,Portion of parcel 5d. Acreage (see instructions) .,CheckBox,0,"318,422,324,430"
Check Box 4,Not applicable .,CheckBox,0,"318,435,324,443"
Text Field 29,erty being that sold best (see describes instructions). the prop-,Text,0,"519,393,570,409"
Text Field 30,"price (If the transfer is a gift, enter “0”)....................................................................... 6a.",Text,0,"443,457,550,473"
Text Field 31,fully exempt from transfer tax. Enter the corresponding exemption 6b.,Text,0,"441,481,548,497"
Check Box 5,Check code. the box if the transfer is,CheckBox,0,"118,499,124,507"
Check Box 6,Check exemption the box code. if the transfer,CheckBox,0,"118,519,124,527"
Text Field 32,transfer tax. Enter the corresponding 6e. Exemption See Instructions Code:,Text,0,"532,516,570,534"
Text Field 33,7. DATE OF TRANSFER (MM-DD-YYYY),Text,0,"45,552,152,568"
Check Box 7,CLASSIFIED,CheckBox,0,"506,555,512,563"
Check Box 8,Seller has qualified as a Maine resident,CheckBox,0,"279,596,285,604"
Text Field 34,"sessed value? If yes, check the box and enter explanation",Text,0,"44,610,347,644"
Check Box 9,Seller has qualified as a Maine resident,CheckBox,0,"355,601,361,609"
Check Box 10,A waiver has been received from the State,CheckBox,0,"355,612,361,620"
Check Box 11,"Consideration for the property is less than $100,000",CheckBox,0,"355,625,361,633"
Check Box 12,The transfer is a foreclosure sale,CheckBox,0,"355,636,361,644"
Text Field 35,Not Portion applicable of parcel .,Text,0,"546,429,570,445"
Text Field 36,Not Portion applicable of parcel,Text,0,"463,429,541,445"
Text Field 37,1.,Text,1,"54,189,342,206"
Text Field 38,1. 2.,Text,1,"54,207,342,225"
Text Field 39,2. 3.,Text,1,"54,225,342,242"
Text Field 40,3. 4.,Text,1,"54,243,342,260"
Text Field 41,4. 5.,Text,1,"54,261,342,278"
Text Field 42,5. 6.,Text,1,"54,279,342,296"
Text Field 43,6. 7.,Text,1,"54,297,342,314"
Text Field 44,7. 8.,Text,1,"55,315,342,332"
Text Field 45,1.,Text,1,"54,378,342,395"
Text Field 46,1. 2.,Text,1,"55,397,342,414"
Text Field 47,2. 3.,Text,1,"55,415,342,432"
Text Field 48,3. 4.,Text,1,"55,432,342,449"
