field_id,label,caption,type,page,rect
fidu_1041_year_from,Fidu 1041 Year from,(mm dd yyyy),text,0,"131.8,78.6,193.0,96.6"
fidu_1040_year_to,Fidu 1040 Year to,2 0 2 0 to,text,0,"259.9,78.4,369.1,96.4"
fidu_1041_amended_return,Fidu 1041 Amended return,Amended Return,checkbox,0,"397.6,78.8,415.6,96.8"
fidu_1041_name_of_estate_or_trust,Fidu 1041 Name of estate or trust,,text,0,"44.4,102.7,369.0,120.7"
fidu_1041_name_and_title_of_fiduciary_trustee,Fidu 1041 Name and title of fiduciary trustee,,text,0,"44.4,137.6,369.0,155.6"
fidu_1041_address_of_fiduciary,Fidu 1041 Address of fiduciary,,text,0,"44.4,174.2,348.0,192.2"
fidu_1041_city,Fidu 1041 City,,text,0,"44.4,209.7,261.3,227.7"
fidu_1041_state,Fidu 1041 State,,text,0,"283.5,210.0,304.3,228.0"
fidu_1041_zip_code,Fidu 1041 Zip code,,text,0,"314.1,209.8,369.0,227.8"
fidu_1041_estate_trust_qft_ein,Fidu 1041 Estate/trust/qft/ein,,text,0,"452.6,102.8,570.3,120.8"
fidu_1041_ss_or_ein_number,Fidu 1041 ss or EIN number,,text,0,"452.9,137.5,569.6,155.5"
fidu_1041_contact_persons_first_name,FIdu 1041 Contact persons first name,,text,0,"390.0,173.8,462.7,191.8"
fidu_1041_contact_persons_last_name,Fidu 1041 Contact persons last name,,text,0,"476.4,173.6,568.1,191.6"
fidu_1041_area_code,Fidu 1041 Area code,,text,0,"441.0,209.2,471.4,227.2"
fidu_1041_telephone_number,Fidu 1041 Telephone number,,text,0,"485.5,209.2,568.1,227.2"
fidu_de,Fidu DE,Decedent’s estate Qualiﬁ ed Funeral Trust (QFT) Qualiﬁ,checkbox,0,"125.1,245.3,138.8,264.2"
decedent_ssn,decedent ssn,one box):,text,0,"140.0,265.5,228.6,281.5"
qualified_funeral_trust_1,Qualified Funeral Trust.1,Qualiﬁ ed Funeral Trust (QFT) Qualiﬁ ed Bankruptcy,checkbox,0,"237.6,246.2,251.1,264.2"
qualified_disability_trust_1,Qualified Disability Trust.1,Qualiﬁ ed Bankruptcy estate,checkbox,0,"370.6,245.3,384.3,264.2"
bankruptcy_ch_7_0,bankruptcy ch 7.0,Bankruptcy estate,checkbox,0,"457.2,246.2,470.7,264.2"
simple_trust,Simple Trust,Bankruptcy estate,checkbox,0,"46.9,282.3,60.5,301.0"
complex_trust,Complex Trust,Bankruptcy estate,checkbox,0,"125.1,281.6,138.8,301.0"
esbt,ESBT,Bankruptcy estate,checkbox,0,"237.6,282.2,251.3,301.0"
pooled_income,Pooled Income,Bankruptcy estate,checkbox,0,"371.1,281.6,384.8,301.0"
bankruptcy_ch_11,bankruptcy ch 11,Bankruptcy estate,checkbox,0,"456.7,282.2,470.2,301.0"
fidu_1041_resident,Fidu 1041 Resident,,checkbox,0,"149.0,305.9,167.0,323.9"
fidu_1041_nonresident,Fidu 1041 Nonresident,,checkbox,0,"268.6,305.9,286.6,323.9"
fidu_1041_initial_return,Fidu 1041 Initial return,,checkbox,0,"405.5,305.9,423.5,323.9"
fidu_1041_final_return,Fidu 1041 Final Return,,checkbox,0,"492.2,305.9,510.2,323.9"
fidu_1041_federal_taxable_income,Fidu 1041 Federal taxable income,,text,0,"432.4,329.9,547.9,347.9"
fidu_1041_adjustment,Fidu 1041 adjustment,Fiduciary Adjustment: Resident estates and trusts only. (See instructions.) ................................2,text,0,"432.1,354.8,547.9,372.8"
fidu_1041_maine_taxable_income,Fidu 1041 Maine Taxable Income,"or trust - Schedule NR, line 9, Column B.) ............................................................3",text,0,"432.9,378.5,547.9,396.5"
fidu_1041_maine_income_tax,Fidu 1041 Maine income tax,tax. (From tax table on page 2 of instructions.) ...........................................................4,text,0,"438.1,402.7,547.9,420.7"
fidu_1041_adjustments_tax,Fidu 1041 Adjustments tax,"5. Adjustments to tax. (From Schedule A, line 19.) .....................................................................",text,0,"437.0,426.1,547.9,444.1"
fidu_1041_adjusted_maine_income_tax,Fidu 1041 Adjusted Maine income tax,,text,0,"436.8,449.6,547.9,467.6"
fidu_1041_tax_payments,Fidu 1041 Tax payments,,text,0,"436.6,473.8,547.9,491.8"
fidu_1041_estimated_tax_payments,Fidu 1041 Estimated tax payments,extension payments. (Include any real estate withholding tax payments.) ....7b,text,0,"437.2,498.4,547.9,516.4"
fidu_1041_refunable_tax_credits,Fidu 1041 Refunable tax credits,"c. Refundable tax credits. (From Schedule A, line 4.) ...........................................7c",text,0,"437.2,522.3,547.9,540.3"
fidu_1041_total_payments,Fidu 1041 Total payments,,text,0,"436.4,545.0,547.9,563.0"
fidu_1041_tax_balance_due,Fidu 1041 Tax balance due,"is greater than line 7d, enter TAX BALANCE DUE. .........................................................8a",text,0,"468.7,570.1,547.9,588.1"
