field_id,label,caption,type,page,rect
estate_of_first_name,Estate of First Name,,text,0,"57.3,101.8,202.8,119.9"
estate_of_m_i,Estate of M.I,,text,0,"223.9,101.7,237.5,120.0"
estate_of_last_name,Estate of Last Name,,text,0,"259.1,101.8,562.2,119.9"
social_security_number,Social Security Number,Social Security Number (SSN):,text,0,"172.6,137.5,331.6,156.0"
date_of_death,Date of death,Social Security Number (SSN): Date of Death:,text,0,"417.5,137.5,561.8,156.0"
residency_status,Residency Status,Resident Nonresident State of Residency (abbreviate),radio,0,"130.0,162.0,143.6,180.2"
residency_status_2,Residency Status,Nonresident State of Residency (abbreviate),radio,0,"194.9,162.0,208.6,180.2"
state_of_residency,State of Residency,Residency Status: Resident Nonresident,text,0,"287.9,162.0,309.7,180.2"
married_widow_widower_spouse_s_name,"Married/widow/widower, spouse's name","If married or widow(er), enter spouse’s name:",text,0,"215.5,186.1,366.6,204.6"
spouse_ssn,Spouse ssn,"If married or widow(er), enter spouse’s name: Spouse’s SSN:",text,0,"417.6,186.1,562.1,204.6"
personal_rep_first_name,Personal Rep First Name,,text,0,"57.0,221.3,202.8,239.8"
personal_rep_m_i,Personal Rep M.I,,text,0,"216.1,221.3,230.5,239.8"
personal_rep_last_name,Personal Rep Last Name,,text,0,"244.1,221.3,561.9,239.8"
per_rep_ssn,Per Rep SSN,,text,0,"57.5,257.6,206.4,276.1"
per_rep_area_code,Per Rep Area Code,,text,0,"225.1,257.6,264.2,276.1"
per_rep_telephone_number,Per Rep Telephone number,,text,0,"277.7,257.6,385.2,276.1"
per_rep_fax_area_code,Per Rep Fax Area Code,,text,0,"400.6,257.6,439.7,276.1"
per_rep_fax_number,Per Rep Fax number,,text,0,"454.2,257.6,562.2,276.1"
personal_rep_street_address,Personal Rep Street Address,,text,0,"57.3,294.3,562.4,312.8"
personal_rep_city_town,Personal Rep City/Town,,text,0,"57.1,329.6,231.8,348.1"
per_rep_state,Per Rep State,,text,0,"244.9,329.6,270.9,348.1"
personal_rep_zip_code,Personal Rep Zip Code,,text,0,"287.9,329.6,360.6,348.1"
personal_rep_email_address,Personal Rep Email Address,,text,0,"379.2,329.6,561.9,348.1"
firm_name,Firm Name,,text,0,"57.7,425.8,562.2,444.8"
contact_person_first_name,Contact Person First Name,,text,0,"57.1,462.2,203.1,481.1"
contact_person_m_i,Contact Person M.I,,text,0,"217.0,462.2,230.3,481.1"
contact_person_last_name,Contact Person Last Name,,text,0,"244.9,462.2,562.2,481.1"
contact_person_mailing_address,Contact Person Mailing Address,,text,0,"57.7,498.3,562.0,517.3"
contact_person_city_town,Contact Person City/Town,,text,0,"57.3,533.9,231.6,552.9"
contact_person_state,Contact Person State,,text,0,"244.5,533.9,273.7,552.9"
contact_zip_code,Contact Zip Code,,text,0,"287.6,533.9,360.2,552.9"
contact_area_code,Contact Area Code,,text,0,"387.7,533.9,432.0,552.9"
contact_telephone_number,Contact Telephone number,,text,0,"447.3,533.9,561.9,552.9"
contact_email_address,contact email address,,text,0,"56.9,569.8,367.1,588.7"
contact_fax_area_code,Contact  Fax Area Code,,text,0,"387.5,569.8,431.9,588.7"
contact_fax_number,Contact Fax number,,text,0,"447.3,569.8,561.9,588.7"
signature_line_of_personal_rep,signature line of personal rep,,text,0,"57.1,654.2,475.2,673.2"
date_of_signature,Date of signature,,text,0,"486.7,654.2,561.9,673.2"
signature_of_preparer,Signature of Preparer,,text,0,"57.3,688.4,334.0,707.4"
preparer_ssn_or_ptin,Preparer SSN or PTIN,,text,0,"345.6,688.4,475.1,707.4"
date_of_preparer_signature,Date of Preparer signature,,text,0,"486.4,688.4,562.0,707.4"
firm_name_or_preparer,Firm Name or preparer,,text,0,"57.3,725.5,212.6,744.5"
preparer_address,Preparer address,,text,0,"227.6,725.5,406.5,744.5"
preparer_telephone_number,Preparer telephone number,,text,0,"439.1,725.5,562.0,744.5"
