field_id,label,widget_id,type,data_type,category,subcategory,page,risk_score,risk_tier,fill_deterministic,fill_llm_eligible,fill_human_required,fill_source,validators
clear,Clear,W001,checkbox,boolean,narrative_derived,choice,0,5,green,,Y,,llm_over_narrative,
print,Print,W002,checkbox,boolean,narrative_derived,choice,0,5,green,,Y,,llm_over_narrative,
due_on_or_before,Due on or before,W003,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
quarter,Quarter #,W004,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
years_from,Years from,W005,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
years_to,Years to,W006,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
withholding_account_number,Withholding account number,W007,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
name,Name,W008,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
address,Address,W009,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
city,City,W010,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
state,State,W011,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
zip_code,Zip code,W012,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
check_here_if_mrs_granted_a_waiver,Check here if MRS granted a waiver,W013,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
check_if_amended,Check if amended,W014,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
check_here_to_close_your_withholding_account,Check here to close your withholding account,W015,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
maine_income_tax_withheld_this_quarter,Maine income tax withheld this quarter,W016,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
cents1,Cents1,W017,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
payments_made,payments made,W018,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
cents2,Cents2,W019,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
if_amended_overpayment,If amended overpayment,W020,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
cents3,Cents3,W021,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
line_2a_minus_2b,Line 2a minus 2b,W022,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
