field_id,label,widget_id,type,data_type,category,subcategory,page,risk_score,risk_tier,fill_deterministic,fill_llm_eligible,fill_human_required,fill_source,validators
clear,Clear,W001,checkbox,boolean,narrative_derived,choice,0,5,green,,Y,,llm_over_narrative,
print,Print,W002,checkbox,boolean,narrative_derived,choice,0,5,green,,Y,,llm_over_narrative,
your_first_name,Your first name,W003,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
m_i,M.I,W004,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
last_name,Last name,W005,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
your_social_security_number,Your social security number,W006,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
home_address,Home address,W007,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
city_or_town,City or town,W008,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
state,State,W009,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
zip_code,Zip code,W010,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
filing_status_single,Filing status--single,W011,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
filing_status_single_dup1,Filing status--single,W012,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
filing_status_single_dup2,Filing status--single,W013,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
total_number_of_allowances,Total number of allowances,W014,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
additional_amount,Additional amount,W015,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
you_claimed_exempt,You claimed exempt,W016,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
you_completed_federal_form_w4p,You completed federal form W4p,W017,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
you_are_a_resident_employee_with_no_maine_tax_liability,You are a resident employee with no Maine tax liability,W018,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
you_are_a_recipient_of_periodic_retirement_payments,You are a recipient of periodic retirement payments,W019,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
your_spouse_id_a_member_of_the_military,Your spouse id a member of the military,W020,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
tribal_member_exemption,Tribal Member Exemption,W021,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
employee_s_payees_signature,Employee's/payees signature,W022,text,text,signature,signature,0,53,orange,,,Y,wet_ink,
date,Date,W023,text,text,narrative_derived,date,0,5,green,,Y,,llm_over_narrative,
number_of_allowances_claimed_on_federal_form_w_4,Number of allowances claimed on federal form W-4,W024,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
enter_1_for_spouse,enter 1 for spouse,W025,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
enter_1_for_hoh,enter 1 for HOH,W026,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
number_of_children,number of children,W027,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
add_lines_a_d,add lines a-d,W028,text,text,narrative_derived,free_text,0,5,green,,Y,,llm_over_narrative,
